season,yr,mnth,hr,holiday,workingday,weathersit,temp,hum,windspeed,cnt,dayOfWeek,days
1,0,1,18,0,1,1,0.24,0.32,0.1045,157,Mon,2
1,0,1,19,0,1,1,0.2,0.47,0,110,Mon,2
1,0,1,20,0,1,1,0.2,0.47,0.1045,52,Mon,2
1,0,1,21,0,1,1,0.18,0.64,0.1343,52,Mon,2
1,0,1,22,0,1,1,0.14,0.69,0.1343,20,Mon,2
1,0,1,23,0,1,1,0.18,0.55,0.1045,12,Mon,2
1,0,1,0,0,1,1,0.16,0.55,0.1045,5,Tue,2
1,0,1,1,0,1,1,0.16,0.59,0.1045,2,Tue,2
1,0,1,2,0,1,1,0.14,0.63,0.1343,1,Tue,2
1,0,1,4,0,1,1,0.14,0.63,0.0896,2,Tue,3
1,0,1,5,0,1,1,0.12,0.68,0.1045,4,Tue,3
1,0,1,6,0,1,1,0.12,0.74,0.1045,36,Tue,3
1,0,1,7,0,1,1,0.12,0.74,0.1343,94,Tue,3
1,0,1,8,0,1,1,0.14,0.69,0.1642,179,Tue,3
1,0,1,9,0,1,1,0.16,0.64,0.2239,100,Tue,3
1,0,1,10,0,1,2,0.16,0.69,0.3284,42,Tue,3
1,0,1,11,0,1,1,0.22,0.51,0.2985,57,Tue,3
1,0,1,12,0,1,1,0.22,0.51,0.1642,78,Tue,3
1,0,1,13,0,1,1,0.24,0.56,0.194,97,Tue,3
1,0,1,14,0,1,1,0.26,0.52,0.2239,63,Tue,3
1,0,1,15,0,1,1,0.28,0.52,0.2537,65,Tue,3
1,0,1,16,0,1,1,0.3,0.49,0.2537,83,Tue,3
1,0,1,17,0,1,1,0.28,0.48,0.2239,212,Tue,3
1,0,1,18,0,1,1,0.26,0.48,0.194,182,Tue,3
1,0,1,19,0,1,1,0.24,0.48,0.1045,112,Tue,3
1,0,1,20,0,1,1,0.24,0.48,0.1045,54,Tue,3
1,0,1,21,0,1,1,0.22,0.64,0,48,Tue,3
1,0,1,22,0,1,1,0.22,0.64,0.0896,35,Tue,3
1,0,1,23,0,1,1,0.2,0.69,0.0896,11,Tue,3
1,0,1,0,0,1,1,0.2,0.64,0,6,Wed,3
1,0,1,1,0,1,1,0.16,0.74,0.0896,6,Wed,3
1,0,1,2,0,1,1,0.16,0.74,0.0896,2,Wed,3
1,0,1,4,0,1,1,0.24,0.48,0.2239,2,Wed,3
1,0,1,5,0,1,1,0.22,0.47,0.1642,3,Wed,4
1,0,1,6,0,1,1,0.2,0.47,0.2239,33,Wed,4
1,0,1,7,0,1,1,0.18,0.43,0.194,88,Wed,4
1,0,1,8,0,1,1,0.2,0.4,0.2985,195,Wed,4
1,0,1,9,0,1,1,0.22,0.37,0.3284,115,Wed,4
1,0,1,10,0,1,1,0.22,0.37,0.3284,57,Wed,4
1,0,1,11,0,1,1,0.26,0.33,0.3284,46,Wed,4
1,0,1,12,0,1,1,0.26,0.33,0.3284,79,Wed,4
1,0,1,13,0,1,1,0.28,0.3,0.2985,71,Wed,4
1,0,1,14,0,1,1,0.3,0.28,0.194,62,Wed,4
1,0,1,15,0,1,1,0.3,0.28,0.194,62,Wed,4
1,0,1,16,0,1,1,0.3,0.28,0.0896,89,Wed,4
1,0,1,17,0,1,1,0.24,0.38,0.194,190,Wed,4
1,0,1,18,0,1,1,0.24,0.38,0.1343,169,Wed,4
1,0,1,19,0,1,1,0.24,0.38,0.1045,132,Wed,4
1,0,1,20,0,1,1,0.22,0.47,0.1642,89,Wed,4
1,0,1,21,0,1,1,0.2,0.51,0.194,43,Wed,4
1,0,1,22,0,1,1,0.18,0.55,0.1343,42,Wed,4
1,0,1,23,0,1,1,0.2,0.47,0,19,Wed,4
1,0,1,0,0,1,1,0.18,0.55,0,11,Thr,4
1,0,1,1,0,1,1,0.16,0.64,0,4,Thr,4
1,0,1,2,0,1,1,0.16,0.64,0,2,Thr,4
1,0,1,4,0,1,2,0.16,0.64,0.0896,1,Thr,4
1,0,1,5,0,1,2,0.14,0.69,0.0896,4,Thr,4
1,0,1,6,0,1,2,0.14,0.63,0.1045,36,Thr,5
1,0,1,7,0,1,2,0.16,0.59,0,95,Thr,5
1,0,1,8,0,1,1,0.16,0.59,0,219,Thr,5
1,0,1,9,0,1,2,0.18,0.51,0,122,Thr,5
1,0,1,10,0,1,1,0.2,0.47,0,45,Thr,5
1,0,1,11,0,1,1,0.22,0.44,0.0896,59,Thr,5
1,0,1,12,0,1,1,0.26,0.35,0,84,Thr,5
1,0,1,13,0,1,1,0.26,0.35,0.1045,67,Thr,5
1,0,1,14,0,1,1,0.28,0.36,0.1642,70,Thr,5
1,0,1,15,0,1,1,0.28,0.36,0,62,Thr,5
1,0,1,16,0,1,1,0.26,0.38,0.1642,86,Thr,5
1,0,1,17,0,1,1,0.22,0.51,0.1642,172,Thr,5
1,0,1,18,0,1,1,0.22,0.51,0.1343,163,Thr,5
1,0,1,19,0,1,1,0.22,0.55,0.0896,112,Thr,5
1,0,1,20,0,1,1,0.2,0.51,0.1642,69,Thr,5
1,0,1,21,0,1,2,0.22,0.55,0.2239,48,Thr,5
1,0,1,22,0,1,2,0.22,0.51,0.2836,52,Thr,5
1,0,1,23,0,1,2,0.2,0.59,0.194,23,Thr,5
1,0,1,0,0,1,2,0.2,0.64,0.194,17,Fri,5
1,0,1,1,0,1,2,0.2,0.69,0.2239,7,Fri,5
1,0,1,2,0,1,2,0.2,0.69,0.2239,1,Fri,5
1,0,1,4,0,1,2,0.2,0.69,0.1343,1,Fri,5
1,0,1,5,0,1,3,0.22,0.55,0,5,Fri,5
1,0,1,6,0,1,2,0.2,0.69,0,34,Fri,5
1,0,1,7,0,1,1,0.2,0.69,0.1343,84,Fri,6
1,0,1,8,0,1,1,0.2,0.51,0.2537,210,Fri,6
1,0,1,9,0,1,1,0.2,0.47,0.2985,134,Fri,6
1,0,1,10,0,1,1,0.22,0.37,0.3284,63,Fri,6
1,0,1,11,0,1,2,0.2,0.4,0.2239,67,Fri,6
1,0,1,12,0,1,2,0.2,0.37,0.2537,59,Fri,6
1,0,1,13,0,1,2,0.2,0.37,0.2836,73,Fri,6
1,0,1,14,0,1,2,0.2,0.4,0.2537,50,Fri,6
1,0,1,15,0,1,2,0.2,0.37,0.1642,72,Fri,6
1,0,1,16,0,1,2,0.2,0.37,0.1642,87,Fri,6
1,0,1,17,0,1,2,0.2,0.37,0,187,Fri,6
1,0,1,18,0,1,1,0.2,0.4,0.0896,123,Fri,6
1,0,1,19,0,1,1,0.16,0.55,0.0896,95,Fri,6
1,0,1,20,0,1,1,0.18,0.47,0.1045,51,Fri,6
1,0,1,21,0,1,1,0.18,0.47,0.1343,39,Fri,6
1,0,1,22,0,1,2,0.18,0.43,0.1642,36,Fri,6
1,0,1,23,0,1,2,0.18,0.51,0.1642,15,Fri,6
1,0,1,0,0,0,2,0.18,0.51,0.1642,25,Sat,6
1,0,1,1,0,0,2,0.18,0.55,0.0896,16,Sat,6
1,0,1,2,0,0,2,0.18,0.55,0,16,Sat,6
1,0,1,3,0,0,3,0.18,0.55,0.1642,7,Sat,6
1,0,1,4,0,0,3,0.18,0.55,0.1642,1,Sat,6
1,0,1,5,0,0,2,0.16,0.74,0.1642,5,Sat,6
1,0,1,6,0,0,2,0.16,0.74,0.1642,2,Sat,6
1,0,1,7,0,0,2,0.16,0.74,0.1045,9,Sat,7
1,0,1,8,0,0,3,0.16,0.93,0.1045,15,Sat,7
1,0,1,9,0,0,3,0.16,0.93,0.1045,20,Sat,7
1,0,1,10,0,0,2,0.18,0.8,0.1642,61,Sat,7
1,0,1,11,0,0,2,0.2,0.69,0.3881,62,Sat,7
1,0,1,12,0,0,2,0.2,0.59,0.3582,98,Sat,7
1,0,1,13,0,0,1,0.2,0.44,0.3284,102,Sat,7
1,0,1,14,0,0,1,0.2,0.32,0.4925,95,Sat,7
1,0,1,15,0,0,1,0.2,0.32,0.4478,74,Sat,7
1,0,1,16,0,0,1,0.18,0.29,0.4478,76,Sat,7
1,0,1,17,0,0,1,0.16,0.37,0.5522,69,Sat,7
1,0,1,18,0,0,1,0.14,0.39,0.2985,55,Sat,7
1,0,1,19,0,0,1,0.14,0.36,0.2537,30,Sat,7
1,0,1,20,0,0,1,0.12,0.36,0.2537,28,Sat,7
1,0,1,21,0,0,1,0.12,0.39,0.3582,37,Sat,7
1,0,1,22,0,0,1,0.12,0.36,0.3881,34,Sat,7
1,0,1,23,0,0,1,0.1,0.39,0.4478,22,Sat,7
1,0,1,0,0,0,1,0.1,0.42,0.3881,25,Sun,7
1,0,1,1,0,0,1,0.1,0.42,0.4627,12,Sun,7
1,0,1,2,0,0,1,0.1,0.46,0.4627,11,Sun,7
1,0,1,3,0,0,1,0.1,0.46,0.4179,4,Sun,7
1,0,1,4,0,0,1,0.08,0.53,0.194,1,Sun,7
1,0,1,5,0,0,1,0.08,0.53,0.194,1,Sun,7
1,0,1,6,0,0,1,0.1,0.49,0.2836,1,Sun,7
1,0,1,7,0,0,1,0.08,0.53,0.194,6,Sun,8
1,0,1,8,0,0,1,0.1,0.49,0.2836,10,Sun,8
1,0,1,9,0,0,1,0.12,0.46,0.5224,19,Sun,8
1,0,1,10,0,0,1,0.14,0.43,0.3881,49,Sun,8
1,0,1,11,0,0,1,0.16,0.4,0.5224,49,Sun,8
1,0,1,12,0,0,1,0.18,0.37,0.4478,83,Sun,8
1,0,1,13,0,0,1,0.2,0.34,0.4478,75,Sun,8
1,0,1,14,0,0,1,0.22,0.32,0.4627,72,Sun,8
1,0,1,15,0,0,1,0.22,0.35,0.3582,82,Sun,8
1,0,1,16,0,0,1,0.2,0.34,0.4478,92,Sun,8
1,0,1,17,0,0,1,0.18,0.37,0.3881,62,Sun,8
1,0,1,18,0,0,1,0.16,0.4,0.3284,48,Sun,8
1,0,1,19,0,0,1,0.16,0.43,0.3284,41,Sun,8
1,0,1,20,0,0,1,0.14,0.46,0.2537,38,Sun,8
1,0,1,21,0,0,1,0.14,0.46,0.4179,20,Sun,8
1,0,1,22,0,0,1,0.14,0.46,0.2985,15,Sun,8
1,0,1,23,0,0,1,0.12,0.5,0.194,6,Sun,8
1,0,1,0,0,1,1,0.12,0.5,0.2836,5,Mon,8
1,0,1,1,0,1,1,0.12,0.5,0.2836,1,Mon,8
1,0,1,2,0,1,1,0.12,0.5,0.2239,3,Mon,8
1,0,1,3,0,1,1,0.12,0.5,0.2239,1,Mon,8
1,0,1,4,0,1,1,0.1,0.54,0.1343,3,Mon,8
1,0,1,5,0,1,1,0.1,0.54,0.2537,3,Mon,8
1,0,1,6,0,1,1,0.12,0.5,0.2836,31,Mon,8
1,0,1,7,0,1,1,0.12,0.5,0.2239,77,Mon,9
1,0,1,8,0,1,2,0.12,0.5,0.2836,188,Mon,9
1,0,1,9,0,1,2,0.14,0.5,0.2537,94,Mon,9
1,0,1,10,0,1,2,0.14,0.5,0.2985,31,Mon,9
1,0,1,11,0,1,2,0.16,0.47,0.2836,30,Mon,9
1,0,1,12,0,1,2,0.2,0.4,0.2836,52,Mon,9
1,0,1,13,0,1,2,0.2,0.4,0.2836,54,Mon,9
1,0,1,14,0,1,2,0.2,0.4,0.2239,47,Mon,9
1,0,1,15,0,1,2,0.2,0.4,0.2239,45,Mon,9
1,0,1,16,0,1,1,0.2,0.4,0.1343,74,Mon,9
1,0,1,17,0,1,1,0.2,0.4,0.1045,178,Mon,9
1,0,1,18,0,1,1,0.2,0.4,0.2239,155,Mon,9
1,0,1,19,0,1,1,0.16,0.47,0.1642,95,Mon,9
1,0,1,20,0,1,1,0.16,0.5,0.1642,74,Mon,9
1,0,1,21,0,1,1,0.14,0.59,0.194,38,Mon,9
1,0,1,22,0,1,1,0.14,0.59,0.1642,24,Mon,9
1,0,1,23,0,1,1,0.14,0.59,0.1642,18,Mon,9
1,0,1,0,0,1,1,0.14,0.59,0.1045,12,Tue,9
1,0,1,1,0,1,1,0.14,0.59,0.1642,3,Tue,9
1,0,1,2,0,1,2,0.16,0.55,0.194,3,Tue,9
1,0,1,5,0,1,2,0.16,0.55,0.1343,6,Tue,9
1,0,1,6,0,1,2,0.16,0.55,0.1343,27,Tue,9
1,0,1,7,0,1,2,0.16,0.55,0,99,Tue,9
1,0,1,8,0,1,2,0.18,0.51,0.0896,217,Tue,9
1,0,1,9,0,1,2,0.18,0.51,0.1642,130,Tue,10
1,0,1,10,0,1,2,0.2,0.51,0.1642,54,Tue,10
1,0,1,11,0,1,2,0.2,0.47,0.1343,35,Tue,10
1,0,1,12,0,1,2,0.2,0.51,0.1045,57,Tue,10
1,0,1,13,0,1,2,0.2,0.59,0.0896,52,Tue,10
1,0,1,14,0,1,2,0.2,0.59,0.0896,63,Tue,10
1,0,1,15,0,1,2,0.16,0.8,0.0896,47,Tue,10
1,0,1,16,0,1,2,0.16,0.86,0.2239,76,Tue,10
1,0,1,17,0,1,2,0.16,0.86,0.2239,136,Tue,10
1,0,1,18,0,1,3,0.16,0.93,0.1045,95,Tue,10
1,0,1,19,0,1,3,0.16,0.93,0,51,Tue,10
1,0,1,20,0,1,3,0.16,0.93,0.194,32,Tue,10
1,0,1,21,0,1,3,0.16,0.86,0.0896,20,Tue,10
1,0,1,22,0,1,3,0.16,0.93,0.1045,29,Tue,10
1,0,1,23,0,1,3,0.16,0.93,0.0896,19,Tue,10
1,0,1,0,0,1,2,0.16,0.86,0.0896,7,Wed,10
1,0,1,1,0,1,2,0.16,0.86,0.1045,6,Wed,10
1,0,1,2,0,1,1,0.14,0.86,0.1343,1,Wed,10
1,0,1,5,0,1,1,0.14,0.86,0.1642,5,Wed,10
1,0,1,6,0,1,1,0.12,0.93,0.1343,16,Wed,10
1,0,1,7,0,1,1,0.14,0.69,0.1343,54,Wed,10
1,0,1,8,0,1,1,0.16,0.59,0.1642,128,Wed,10
1,0,1,9,0,1,1,0.16,0.59,0.3284,81,Wed,10
1,0,1,10,0,1,1,0.18,0.55,0.2239,39,Wed,10
1,0,1,11,0,1,1,0.2,0.51,0.3881,35,Wed,11
1,0,1,12,0,1,1,0.2,0.47,0.5821,55,Wed,11
1,0,1,13,0,1,1,0.22,0.44,0.3582,49,Wed,11
1,0,1,14,0,1,1,0.2,0.47,0.3284,44,Wed,11
1,0,1,15,0,1,1,0.2,0.47,0.4179,49,Wed,11
1,0,1,16,0,1,1,0.22,0.44,0.3284,68,Wed,11
1,0,1,17,0,1,1,0.2,0.47,0.3582,139,Wed,11
1,0,1,18,0,1,1,0.2,0.47,0.5224,137,Wed,11
1,0,1,19,0,1,1,0.18,0.47,0.4179,83,Wed,11
1,0,1,20,0,1,1,0.16,0.5,0.3284,56,Wed,11
1,0,1,21,0,1,1,0.16,0.55,0.3284,57,Wed,11
1,0,1,22,0,1,1,0.16,0.55,0.4478,33,Wed,11
1,0,1,23,0,1,1,0.14,0.59,0.4179,20,Wed,11
1,0,1,0,0,1,1,0.14,0.59,0.2836,7,Thr,11
1,0,1,1,0,1,1,0.14,0.5,0.2836,2,Thr,11
1,0,1,2,0,1,1,0.14,0.5,0.3582,2,Thr,11
1,0,1,3,0,1,1,0.14,0.5,0.3284,3,Thr,11
1,0,1,4,0,1,1,0.14,0.5,0.2537,4,Thr,11
1,0,1,5,0,1,1,0.14,0.5,0.2985,3,Thr,11
1,0,1,6,0,1,1,0.12,0.54,0.1343,28,Thr,11
1,0,1,7,0,1,1,0.12,0.54,0.1343,72,Thr,11
1,0,1,8,0,1,1,0.14,0.5,0.194,202,Thr,11
1,0,1,9,0,1,1,0.14,0.5,0.3284,139,Thr,11
1,0,1,10,0,1,2,0.16,0.5,0.3582,38,Thr,11
1,0,1,11,0,1,2,0.2,0.44,0.4478,37,Thr,12
1,0,1,12,0,1,1,0.2,0.44,0.4179,52,Thr,12
1,0,1,13,0,1,1,0.22,0.41,0.4478,83,Thr,12
1,0,1,14,0,1,1,0.22,0.41,0.3881,42,Thr,12
1,0,1,15,0,1,1,0.24,0.38,0.2985,60,Thr,12
1,0,1,16,0,1,1,0.24,0.38,0.3582,78,Thr,12
1,0,1,17,0,1,1,0.2,0.4,0.2836,162,Thr,12
1,0,1,18,0,1,1,0.2,0.4,0.3284,144,Thr,12
1,0,1,19,0,1,1,0.16,0.47,0.2537,99,Thr,12
1,0,1,20,0,1,1,0.16,0.47,0.2239,64,Thr,12
1,0,1,21,0,1,1,0.14,0.46,0.2985,40,Thr,12
1,0,1,22,0,1,1,0.14,0.46,0.3284,30,Thr,12
1,0,1,23,0,1,1,0.12,0.5,0.194,15,Thr,12
1,0,1,0,0,1,1,0.12,0.5,0.194,14,Fri,12
1,0,1,1,0,1,1,0.1,0.54,0.1642,5,Fri,12
1,0,1,2,0,1,1,0.1,0.54,0.1343,1,Fri,12
1,0,1,3,0,1,1,0.1,0.54,0.1045,1,Fri,12
1,0,1,5,0,1,1,0.1,0.54,0.0896,8,Fri,12
1,0,1,6,0,1,1,0.1,0.54,0,17,Fri,12
1,0,1,7,0,1,1,0.1,0.74,0.1642,70,Fri,12
1,0,1,8,0,1,1,0.12,0.68,0,158,Fri,12
1,0,1,9,0,1,1,0.14,0.69,0.1343,117,Fri,12
1,0,1,10,0,1,1,0.18,0.55,0.194,44,Fri,12
1,0,1,11,0,1,1,0.18,0.51,0.2836,53,Fri,12
1,0,1,12,0,1,1,0.2,0.44,0.2537,61,Fri,13
1,0,1,13,0,1,1,0.22,0.37,0.3881,77,Fri,13
1,0,1,14,0,1,1,0.22,0.41,0.2836,64,Fri,13
1,0,1,15,0,1,1,0.24,0.38,0.1642,68,Fri,13
1,0,1,16,0,1,1,0.22,0.41,0.1045,90,Fri,13
1,0,1,17,0,1,1,0.22,0.41,0.1642,159,Fri,13
1,0,1,18,0,1,1,0.2,0.47,0,139,Fri,13
1,0,1,19,0,1,1,0.16,0.59,0.0896,92,Fri,13
1,0,1,20,0,1,1,0.18,0.59,0,68,Fri,13
1,0,1,21,0,1,1,0.16,0.69,0,52,Fri,13
1,0,1,22,0,1,2,0.16,0.69,0,36,Fri,13
1,0,1,23,0,1,2,0.18,0.55,0,27,Fri,13
1,0,1,0,0,0,1,0.18,0.55,0,28,Sat,13
1,0,1,1,0,0,2,0.16,0.59,0.0896,20,Sat,13
1,0,1,2,0,0,2,0.16,0.59,0.0896,12,Sat,13
1,0,1,3,0,0,2,0.16,0.59,0,8,Sat,13
1,0,1,4,0,0,2,0.16,0.59,0,5,Sat,13
1,0,1,5,0,0,1,0.16,0.59,0,1,Sat,13
1,0,1,6,0,0,1,0.14,0.63,0.1045,3,Sat,13
1,0,1,7,0,0,1,0.14,0.63,0,10,Sat,13
1,0,1,8,0,0,1,0.14,0.63,0.1343,23,Sat,13
1,0,1,9,0,0,1,0.16,0.64,0.1343,33,Sat,13
1,0,1,10,0,0,1,0.18,0.59,0.1642,59,Sat,13
1,0,1,11,0,0,1,0.2,0.55,0.2239,72,Sat,13
1,0,1,12,0,0,1,0.24,0.48,0.2239,89,Sat,14
1,0,1,13,0,0,1,0.28,0.38,0.2985,101,Sat,14
1,0,1,14,0,0,1,0.3,0.39,0.2836,118,Sat,14
1,0,1,15,0,0,2,0.32,0.36,0.194,129,Sat,14
1,0,1,16,0,0,2,0.34,0.34,0.194,128,Sat,14
1,0,1,17,0,0,2,0.32,0.36,0.2836,83,Sat,14
1,0,1,18,0,0,2,0.3,0.45,0.2537,84,Sat,14
1,0,1,19,0,0,2,0.32,0.39,0.2537,74,Sat,14
1,0,1,20,0,0,2,0.32,0.39,0.2537,41,Sat,14
1,0,1,21,0,0,2,0.32,0.39,0.2239,57,Sat,14
1,0,1,22,0,0,2,0.3,0.42,0.1045,26,Sat,14
1,0,1,23,0,0,1,0.3,0.45,0.2836,44,Sat,14
1,0,1,0,0,0,1,0.26,0.56,0,39,Sun,14
1,0,1,1,0,0,1,0.26,0.56,0.1343,23,Sun,14
1,0,1,2,0,0,1,0.26,0.56,0.0896,16,Sun,14
1,0,1,3,0,0,1,0.22,0.69,0,15,Sun,14
1,0,1,4,0,0,1,0.26,0.56,0.1642,1,Sun,14
1,0,1,5,0,0,2,0.26,0.56,0.1642,2,Sun,14
1,0,1,6,0,0,2,0.26,0.56,0.1642,1,Sun,14
1,0,1,7,0,0,2,0.24,0.56,0.2985,3,Sun,14
1,0,1,8,0,0,1,0.22,0.55,0.2836,18,Sun,14
1,0,1,9,0,0,1,0.22,0.51,0.2537,32,Sun,14
1,0,1,10,0,0,1,0.22,0.51,0.2836,79,Sun,14
1,0,1,11,0,0,1,0.24,0.44,0.2537,93,Sun,14
1,0,1,12,0,0,1,0.24,0.41,0.2836,104,Sun,15
1,0,1,13,0,0,1,0.26,0.35,0.2985,118,Sun,15
1,0,1,14,0,0,1,0.28,0.36,0.2537,91,Sun,15
1,0,1,15,0,0,1,0.26,0.38,0.2537,113,Sun,15
1,0,1,16,0,0,1,0.24,0.38,0.2239,99,Sun,15
1,0,1,17,0,0,1,0.22,0.37,0.2537,105,Sun,15
1,0,1,18,0,0,1,0.2,0.4,0.1642,67,Sun,15
1,0,1,19,0,0,1,0.18,0.47,0.1343,61,Sun,15
1,0,1,20,0,0,1,0.18,0.47,0.1642,57,Sun,15
1,0,1,21,0,0,1,0.18,0.51,0.1642,28,Sun,15
1,0,1,22,0,0,2,0.2,0.49,0.1343,21,Sun,15
1,0,1,23,0,0,2,0.2,0.4,0.1045,18,Sun,15
1,0,1,0,1,0,2,0.2,0.47,0.2239,17,Mon,15
1,0,1,1,1,0,2,0.2,0.44,0.194,16,Mon,15
1,0,1,2,1,0,2,0.18,0.43,0.2537,8,Mon,15
1,0,1,3,1,0,2,0.18,0.43,0.194,2,Mon,15
1,0,1,4,1,0,2,0.18,0.43,0.1343,3,Mon,15
1,0,1,5,1,0,2,0.18,0.43,0.1642,1,Mon,15
1,0,1,6,1,0,2,0.18,0.43,0.194,5,Mon,15
1,0,1,7,1,0,2,0.16,0.5,0.1343,13,Mon,15
1,0,1,8,1,0,2,0.16,0.47,0.2239,33,Mon,15
1,0,1,9,1,0,2,0.16,0.47,0.2239,47,Mon,15
1,0,1,10,1,0,2,0.16,0.5,0.2537,57,Mon,15
1,0,1,11,1,0,2,0.16,0.55,0.194,64,Mon,15
1,0,1,12,1,0,2,0.18,0.47,0.1343,80,Mon,16
1,0,1,13,1,0,2,0.18,0.47,0.1343,93,Mon,16
1,0,1,14,1,0,2,0.18,0.43,0.1045,86,Mon,16
1,0,1,15,1,0,2,0.2,0.47,0.1642,93,Mon,16
1,0,1,16,1,0,2,0.2,0.47,0.1642,82,Mon,16
1,0,1,17,1,0,1,0.2,0.51,0.194,71,Mon,16
1,0,1,18,1,0,2,0.18,0.55,0.2537,92,Mon,16
1,0,1,19,1,0,3,0.18,0.59,0.194,60,Mon,16
1,0,1,20,1,0,3,0.16,0.8,0.194,33,Mon,16
1,0,1,21,1,0,3,0.16,0.8,0.194,27,Mon,16
1,0,1,22,1,0,3,0.14,0.93,0.2537,13,Mon,16
1,0,1,23,1,0,3,0.16,0.86,0.2836,4,Mon,16
1,0,1,12,0,1,2,0.2,0.86,0.3284,3,Tue,16
1,0,1,13,0,1,2,0.2,0.86,0.2239,22,Tue,16
1,0,1,14,0,1,2,0.22,0.8,0.1642,28,Tue,16
1,0,1,15,0,1,2,0.22,0.87,0.1642,35,Tue,16
1,0,1,16,0,1,2,0.22,0.87,0.194,61,Tue,16
